epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.606,2.00909,3.54756,1.93106,0.00678,0.5193,0.02238,0.00644,2.47206,4.61135,2.67312,0.000469808,0.000469808,0.000469808
2,636.391,2.07325,3.19435,1.95853,0.06143,0.1,0.02987,0.0109,2.57451,4.50097,2.73093,0.000899308,0.000899308,0.000899308
3,946.496,2.13521,3.0857,2.035,0.05776,0.03333,0.01331,0.00408,2.93594,6.86011,3.12997,0.00128165,0.00128165,0.00128165
4,1266.2,2.16155,3.04604,2.04653,0.68917,0.10526,0.1008,0.03104,2.49619,4.64961,2.63556,0.00121679,0.00121679,0.00121679
5,1562.81,2.082,2.85168,2.0285,0.27003,0.12544,0.08354,0.02226,2.60836,3.50355,2.77948,0.00114606,0.00114606,0.00114606
6,1856.88,2.06455,2.7577,1.97575,0.23122,0.22545,0.14148,0.05112,2.19187,3.88076,2.26129,0.00107532,0.00107532,0.00107532
7,2168.74,2.0727,2.70193,1.96731,0.19265,0.24381,0.1447,0.0597,2.06341,2.96094,2.2066,0.00100459,0.00100459,0.00100459
8,2460.9,1.97207,2.52479,1.90246,0.43086,0.35286,0.27643,0.11376,2.09347,3.40154,2.30231,0.000933851,0.000933851,0.000933851
9,2768.08,1.93908,2.45414,1.84743,0.18215,0.36836,0.15947,0.06309,2.05631,2.91503,2.18559,0.000863116,0.000863116,0.000863116
10,3083.47,1.91722,2.41751,1.84087,0.31776,0.28727,0.2528,0.11676,1.99077,2.81004,2.18104,0.00079238,0.00079238,0.00079238
11,3376.28,1.95054,2.39837,1.92289,0.46769,0.26519,0.28674,0.11746,2.06911,3.08447,2.22189,0.000721645,0.000721645,0.000721645
12,3665.74,1.8896,2.34295,1.89621,0.50435,0.32807,0.33045,0.15033,2.04208,2.96825,2.13784,0.000650909,0.000650909,0.000650909
13,3957.5,1.87465,2.22502,1.87134,0.48992,0.34613,0.35284,0.16362,2.08306,2.66586,2.24357,0.000580174,0.000580174,0.000580174
14,4254.19,1.84209,2.11388,1.84855,0.57587,0.53421,0.44415,0.20614,1.77691,2.24769,1.96418,0.000509438,0.000509438,0.000509438
15,4550.46,1.81177,2.08434,1.83,0.51068,0.45789,0.39286,0.17509,1.90475,2.50953,2.12885,0.000438703,0.000438703,0.000438703
16,4845.78,1.75725,2.02147,1.77564,0.50522,0.45695,0.37379,0.18855,1.75099,2.38846,2.0107,0.000367967,0.000367967,0.000367967
17,5159.43,1.74616,1.93789,1.76878,0.58206,0.45439,0.42001,0.2114,1.73258,2.22233,1.93378,0.000297232,0.000297232,0.000297232
18,5454.68,1.70248,1.87969,1.71881,0.57169,0.50325,0.5035,0.27093,1.66938,2.0382,1.84666,0.000226497,0.000226497,0.000226497
19,5748.13,1.67662,1.81213,1.70576,0.4873,0.51754,0.46345,0.25742,1.68296,2.0823,1.87069,0.000155761,0.000155761,0.000155761
20,6041.09,1.65182,1.78929,1.68323,0.61087,0.45175,0.47434,0.27281,1.61507,2.04521,1.84415,8.50255e-05,8.50255e-05,8.50255e-05
